iter	Passed	Remaining
901	1525	165
902	1526	164
903	1528	162
904	1529	160
905	1530	158
906	1532	157
907	1533	155
908	1534	153
909	1535	151
910	1537	150
911	1538	148
912	1540	146
913	1542	145
914	1543	143
915	1544	141
916	1546	139
917	1547	138
918	1548	136
919	1550	134
920	1551	133
921	1553	131
922	1555	129
923	1557	128
924	1559	126
925	1560	124
926	1561	123
927	1563	121
928	1564	119
929	1565	117
930	1567	116
931	1569	114
932	1571	112
933	1572	111
934	1573	109
935	1575	107
936	1576	105
937	1577	104
938	1578	102
939	1580	100
940	1581	99
941	1583	97
942	1585	95
943	1586	94
944	1588	92
945	1589	90
946	1590	89
947	1591	87
948	1593	85
949	1594	83
950	1595	82
951	1596	80
952	1597	78
953	1599	77
954	1601	75
955	1603	73
956	1604	72
957	1605	70
958	1606	68
959	1607	66
960	1609	65
961	1610	63
962	1611	61
963	1612	60
964	1614	58
965	1616	56
966	1617	55
967	1618	53
968	1620	51
969	1621	50
970	1622	48
971	1623	46
972	1625	45
973	1626	43
974	1627	41
975	1629	40
976	1631	38
977	1632	36
978	1633	35
979	1634	33
980	1636	31
981	1637	30
982	1642	28
983	1643	26
984	1644	25
985	1646	23
986	1648	21
987	1649	20
988	1650	18
989	1651	16
990	1653	15
991	1654	13
992	1655	11
993	1657	10
994	1658	8
995	1659	6
996	1661	5
997	1663	3
998	1664	1
999	1665	0
